Utilization,FeasibilityRate,0.1,0.3,0.5,0.7,0.9
0.40,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.45,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.50,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.55,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.60,1.000000,0.989183,0.972542,0.960339,0.951007,0.943640
0.65,1.000000,0.998380,0.995888,0.994060,0.992662,0.991559
0.70,0.000000,nan,nan,nan,nan,nan
0.75,0.000000,nan,nan,nan,nan,nan
0.80,0.000000,nan,nan,nan,nan,nan
0.85,0.000000,nan,nan,nan,nan,nan
0.90,0.000000,nan,nan,nan,nan,nan
