Utilization,FeasibilityRate,Static_L,Static_S,Static_H,Proposed_L,Proposed_S,Proposed_H
0.40,1.000000,0.666667,0.666667,0.666667,1.000000,1.000000,1.000000
0.45,1.000000,0.666667,0.666667,0.666667,1.000000,0.999938,0.999960
0.50,1.000000,0.666667,0.666667,0.666667,1.000000,0.998541,0.999413
0.55,0.997000,0.666667,0.666563,0.666563,0.999894,0.986256,0.994753
0.60,0.936000,0.666667,0.666190,0.666190,0.999243,0.953735,0.979818
0.65,0.744000,0.666667,0.664750,0.664750,0.996442,0.892180,0.945751
0.70,0.305000,0.666667,0.660971,0.660971,0.988124,0.814910,0.894403
0.75,0.039000,0.666667,0.658452,0.658452,0.977623,0.756302,0.834179
0.80,0.002000,0.666667,0.619601,0.619601,0.924727,0.720522,0.732069
0.85,0.000000,nan,nan,nan,nan,nan,nan
0.90,0.000000,nan,nan,nan,nan,nan,nan
